dow,lake_name,between,degree
31083200,rush island,1578,1087
77010500,latimer,8942,1088
40010900,scotch,5639,1089
10005600,stone,321,1090
31005800,beatrice,1475,1091
1005600,cutaway,1721,1092
86011900,sullivan,5247,1092
18022200,wood,1075,1094
1009100,rabbit,3761,1095
29026900,unnamed,442,1096
43008400,marion,535,1097
66001800,roberds,1449,1098
16015600,two island,958,1099
16014700,flour,489,1100
11024200,hand,5269,1100
1012000,section twelve,7153,1102
62000100,silver,1586,1103
18003100,long,1226,1104
7009600,loon,6396,1105
31077300,maple,2985,1106
4001900,anderson,2615,1107
77018200,guernsey,3755,1108
56065800,wall,4575,1109
